# Generated by testdata/harfbuzz/shape.py. DO NOT EDIT.
#
# What HarfBuzz produces for each line of corpus.txt, in order: the
# glyph index and advance of each glyph, and its offset where that is
# not zero. Advances and offsets are in font units.
# font-sha256 0bcb88de05a855aec38471d6317e860fa2a40d1c3ca93f2736b7c34ad9288d90
# harfbuzz 14.5.0
# uharfbuzz 0.56.2
# language und-x-hbscdflt
# cases 1110
19,977
13,1338 79,439 112,391
13,1338 80,0,-54,10 78,413
13,1338 80,0,-54,10 79,439
13,1338 80,0,-54,10 80,0,-54,10
13,1338 80,0,-54,10 84,0,-3,10
13,1338 80,0,-54,10 88,0
13,1338 80,0,-54,10 90,0
13,1338 80,0,-54,10 92,677
13,1338 80,0,-54,10 93,677
13,1338 80,0,-54,10 94,0,-51,10
13,1338 80,0,-54,10 98,0
13,1338 80,0,-54,10 100,376
13,1338 80,0,-54,10 109,238
13,1338 80,0,-54,10 112,391
13,1338 84,0,-3,10 78,413
13,1338 84,0,-3,10 79,439
13,1338 84,0,-3,10 80,0,-54,10
13,1338 84,0,-3,10 84,0,-3,10
13,1338 84,0,-3,10 88,0
13,1338 84,0,-3,10 90,0
13,1338 84,0,-3,10 92,677
13,1338 84,0,-3,10 93,677
13,1338 84,0,-3,10 94,0,-51,10
13,1338 84,0,-3,10 98,0
13,1338 84,0,-3,10 100,376
13,1338 84,0,-3,10 109,238
13,1338 84,0,-3,10 112,391
13,1338 88,0 78,413
13,1338 88,0 79,439
13,1338 88,0 80,0,-54,10
13,1338 88,0 84,0,-3,10
13,1338 88,0 88,0
13,1338 88,0 90,0
13,1338 88,0 92,677
13,1338 88,0 93,677
13,1338 88,0 94,0,-51,10
13,1338 88,0 98,0
13,1338 88,0 100,376
13,1338 88,0 109,238
13,1338 88,0 112,391
13,1338 90,0 78,413
13,1338 90,0 79,439
13,1338 90,0 80,0,-54,10
13,1338 90,0 84,0,-3,10
13,1338 90,0 88,0
13,1338 90,0 90,0
13,1338 90,0 92,677
13,1338 90,0 93,677
13,1338 90,0 94,0,-51,10
13,1338 90,0 98,0
13,1338 90,0 100,376
13,1338 90,0 109,238
13,1338 90,0 112,391
13,1338 92,677 78,413
13,1338 92,677 79,439
13,1338 92,677 80,0,87,10
13,1338 92,677 84,0,138,10
13,1338 92,677 88,0
13,1338 92,677 90,0
13,1338 92,677 92,677
13,1338 92,677 93,677
13,1338 92,677 94,0,90,10
13,1338 92,677 98,0
13,1338 92,677 100,376
13,1338 92,677 109,238
13,1338 92,677 112,391
13,1338 93,677 78,413
13,1338 93,677 79,439
13,1338 93,677 80,0,87,449
13,1338 93,677 84,0,138,449
13,1338 93,677 88,0
13,1338 93,677 90,0
13,1338 93,677 92,677
13,1338 93,677 93,677
13,1338 93,677 94,0,90,449
13,1338 93,677 98,0
13,1338 93,677 100,376
13,1338 93,677 109,238
13,1338 93,677 112,391
13,1338 94,0,-51,10 78,413
13,1338 94,0,-51,10 79,439
13,1338 94,0,-51,10 80,0,-54,10
13,1338 94,0,-51,10 84,0,-3,10
13,1338 94,0,-51,10 88,0
13,1338 94,0,-51,10 90,0
13,1338 94,0,-51,10 92,677
13,1338 94,0,-51,10 93,677
13,1338 94,0,-51,10 94,0,-51,10
13,1338 94,0,-51,10 98,0
13,1338 94,0,-51,10 100,376
13,1338 94,0,-51,10 109,238
13,1338 94,0,-51,10 112,391
13,1338 98,0 78,413
13,1338 98,0 79,439
13,1338 98,0 80,0,-54,10
13,1338 98,0 84,0,-3,10
13,1338 98,0 88,0
13,1338 98,0 90,0
13,1338 98,0 92,677
13,1338 98,0 93,677
13,1338 98,0 94,0,-51,10
13,1338 98,0 98,0
13,1338 98,0 100,376
13,1338 98,0 109,238
13,1338 98,0 112,391
13,1338 100,376 78,413
13,1338 100,376 79,439
13,1338 100,376 80,0
13,1338 100,376 84,0
13,1338 100,376 88,0
13,1338 100,376 90,0
13,1338 100,376 92,677
13,1338 100,376 93,677
13,1338 100,376 94,0
13,1338 100,376 98,0
13,1338 100,376 100,376
13,1338 100,376 109,238
13,1338 100,376 112,391
13,1338 109,238 78,413
13,1338 109,238 79,439
13,1338 109,238 80,0
13,1338 109,238 84,0
13,1338 109,238 88,0
13,1338 109,238 90,0
13,1338 109,238 92,677
13,1338 109,238 93,677
13,1338 109,238 94,0
13,1338 109,238 98,0
13,1338 109,238 100,376
13,1338 109,238 109,238
13,1338 109,238 112,391
13,1338 112,391 78,413
13,1338 112,391 79,439
13,1338 112,391 80,0
13,1338 112,391 84,0
13,1338 112,391 88,0
13,1338 112,391 90,0
13,1338 112,391 92,677
13,1338 112,391 93,677
13,1338 112,391 94,0
13,1338 112,391 98,0
13,1338 112,391 100,376
13,1338 112,391 109,238
13,1338 112,391 112,391
13,1338 78,413 10,0,-45,10
14,976 78,413 10,0,-45,10
15,1207 78,413 10,0,-45,10
16,1207 78,413 10,0,-45,10
17,976 78,413 10,0,-45,10
18,963 78,413 10,0,-45,10
19,977 78,413 10,0,-45,10
20,977 78,413 10,0,-45,10
21,781 78,413 10,0,-45,10
22,781 78,413 10,0,-45,10
23,967 78,413 10,0,-45,10
24,1221 78,413 10,0,-45,10
25,1221 78,413 10,0,-45,10
26,1289 78,413 10,0,-45,10
27,938 78,413 10,0,-45,10
28,1258 78,413 10,0,-45,10
29,976 78,413 10,0,-45,10
30,1043 78,413 10,0,-45,10
31,1479 78,413 10,0,-45,10
32,991 78,413 10,0,-45,10
33,991 78,413 10,0,-45,10
34,1159 78,413 10,0,-45,10
37,1439 78,413 10,0,-45,10
38,976 78,413 10,0,-45,10
39,976 78,413 10,0,-45,10
40,1071 78,413 10,0,-45,10
41,841 78,413 10,0,-45,10
42,1198 78,413 10,0,-45,10
43,1183 78,413 10,0,-45,10
